,CustomerID,Recency,Frequency,Monetory,R,F,M,RFM,LoyaltyLevel
0,2.0,4,182,553704.0,1,1,1,3,Platinum
1,3.0,77,27,257404.0,3,3,1,7,Gold
2,4.0,19,72,176613.0,1,2,2,5,Platinum
3,5.0,311,16,41976.0,4,4,3,11,Bronze
4,6.0,37,77,166972.0,2,2,2,6,Gold
5,7.0,208,4,9410.0,4,4,4,12,Bronze
6,8.0,233,58,135550.0,4,2,2,8,Gold
7,9.0,215,13,65832.0,4,4,3,11,Bronze
8,10.0,25,58,331601.0,2,2,1,5,Platinum
9,11.0,34,131,771439.0,2,1,1,4,Platinum
10,12.0,2,17,105674.0,1,4,2,7,Gold
11,13.0,58,248,718751.0,3,1,1,5,Platinum
12,14.0,53,126,281630.0,3,1,1,5,Platinum
13,15.0,288,9,21630.0,4,4,4,12,Bronze
14,16.0,4,256,586496.0,1,1,1,3,Platinum
15,17.0,110,23,78378.0,3,3,3,9,Silver
16,18.0,8,81,205212.0,1,2,2,5,Platinum
17,19.0,292,21,41055.0,4,3,3,10,Silver
18,20.0,6,10,23537.0,1,4,4,9,Silver
19,21.0,52,166,469518.0,2,1,1,4,Platinum
20,22.0,60,62,182448.0,3,2,2,7,Gold
21,23.0,72,49,163883.0,3,2,2,7,Gold
22,24.0,312,13,42424.0,4,4,3,11,Bronze
23,25.0,26,32,76012.0,2,3,3,8,Gold
24,26.0,11,15,47600.0,1,4,3,8,Gold
25,27.0,316,76,200342.0,4,2,2,8,Gold
26,28.0,130,219,518776.0,3,1,1,5,Platinum
27,29.0,83,38,93904.0,3,3,2,8,Gold
28,30.0,22,100,296416.0,2,2,1,5,Platinum
29,31.0,10,82,183732.0,1,2,2,5,Platinum
30,32.0,190,94,236899.0,4,2,1,7,Gold
31,33.0,29,25,47632.0,2,3,3,8,Gold
32,34.0,346,10,57670.0,4,4,3,11,Bronze
33,35.0,16,100,356353.0,1,2,1,4,Platinum
34,36.0,80,31,68598.0,3,3,3,9,Silver
35,37.0,22,100,60518.0,2,2,3,7,Gold
36,38.0,73,64,201327.0,3,2,2,7,Gold
37,39.0,66,25,148768.0,3,3,2,8,Gold
38,40.0,20,144,386528.0,2,1,1,4,Platinum
39,41.0,36,124,287355.0,2,1,1,4,Platinum
40,42.0,46,84,215492.0,2,2,1,5,Platinum
41,43.0,120,55,158398.0,3,2,2,7,Gold
42,44.0,308,4,7278.0,4,4,4,12,Bronze
43,45.0,324,10,25584.0,4,4,4,12,Bronze
44,46.0,52,4,42252.0,2,4,3,9,Silver
45,47.0,149,53,178467.0,4,2,2,8,Gold
46,48.0,23,105,429407.0,2,1,1,4,Platinum
